iter	Passed	Remaining
0	78	15569
1	88	8725
2	101	6689
3	113	5568
4	129	5063
5	142	4593
6	151	4168
7	163	3925
8	180	3821
9	194	3699
10	208	3588
11	220	3457
12	236	3402
13	248	3298
14	257	3177
15	269	3101
16	283	3054
17	295	2990
18	309	2951
19	324	2917
20	337	2877
21	349	2828
22	361	2784
23	375	2753
24	391	2737
25	407	2728
26	423	2713
27	432	2657
28	445	2625
29	456	2589
30	467	2550
31	479	2519
32	493	2497
33	504	2463
34	513	2418
35	524	2387
36	534	2356
37	544	2323
38	554	2290
39	562	2250
40	570	2211
41	579	2181
42	590	2154
43	597	2119
44	605	2084
45	613	2054
46	623	2030
47	628	1989
48	631	1944
49	633	1900
50	635	1856
51	637	1813
52	639	1772
53	641	1733
54	643	1695
55	645	1659
56	647	1624
57	649	1590
58	651	1556
59	653	1524
60	655	1492
61	657	1462
62	659	1434
63	663	1409
64	665	1382
65	667	1355
66	669	1329
67	671	1303
68	674	1279
69	676	1255
70	678	1232
71	680	1209
72	682	1186
73	683	1164
74	685	1142
75	688	1123
76	690	1102
77	692	1083
78	694	1064
79	696	1045
80	698	1026
81	700	1008
82	702	990
83	704	972
84	706	956
85	708	939
86	710	923
87	712	907
88	714	891
89	716	875
90	718	860
91	720	845
92	723	831
93	725	817
94	726	803
95	728	789
96	730	775
97	732	762
98	735	749
99	737	737
100	739	725
101	741	712
102	744	700
103	746	689
104	748	677
105	751	666
106	753	655
107	755	643
108	758	632
109	760	621
110	762	611
111	764	600
112	766	590
113	769	580
114	771	569
115	773	559
116	775	549
117	776	539
118	778	530
119	780	520
120	782	510
121	785	501
122	787	492
123	789	483
124	791	474
125	793	465
126	795	457
127	797	448
128	800	440
129	802	432
130	804	423
131	807	415
132	809	407
133	811	399
134	813	391
135	817	384
136	819	376
137	821	368
138	822	361
139	825	353
140	826	346
141	829	338
142	831	331
143	833	324
144	835	316
145	837	309
146	839	302
147	841	295
148	844	288
149	846	282
150	848	275
151	850	268
152	852	262
153	854	255
154	857	248
155	859	242
156	861	236
157	863	229
158	868	224
159	871	217
160	873	211
161	875	205
162	877	199
163	879	193
164	881	187
165	883	181
166	886	175
167	887	169
168	889	163
169	893	157
170	895	151
171	897	146
172	899	140
173	901	134
174	903	129
175	905	123
176	907	117
177	909	112
178	911	106
179	912	101
180	915	96
181	916	90
182	918	85
183	920	80
184	922	74
185	924	69
186	926	64
187	928	59
188	930	54
189	932	49
190	934	44
191	936	39
192	938	34
193	940	29
194	942	24
195	944	19
196	946	14
197	948	9
198	950	4
199	952	0
289	46
193	1293	39
194	1295	33
195	1297	26
196	1300	19
197	1303	13
198	1306	6
199	1309	0
6	1417	21
197	1420	14
198	1422	7
199	1426	0
